Do-more Modbus Address, Modbus Address, Nickname, Extra Info, Description, Note
MC1,00001,Door_locked,"","",""
MC2,00002,Door_closed,"","",""
MC3,00003,Local_enable,"","",""
MC100,00100,Dome_enable,"","",""
MC102,00102,Motor_dir,"","",""
MC105,00105,NE_lim_mod,"","North-east LS modbus output",""
MC106,00106,SE_lim_mod,"","South-east LS modbus output",""
MC107,00107,NW_lim_mod,"","North-west LS modbus output",""
MC108,00108,SW_lim_mod,"","South-west LS modbus output",""
MC109,00109,Dome_closed,"","Dome status closed",""
MC110,00110,Dome_open,"","Dome status open",""
MC200,00200,Estop_stat_mbus,"","E-stop status, read on the secondary electrical panel",""
MC201,00201,Remote_estop,"","Remote E-stop",""
MC202,00202,Remote_estop_rel,"","Remote E-stop release",""
MC235,00235,CTL_room_tog,"","Modbus control room lights toggle",""
MC236,00236,UTL_room_tog,"","Modbus utilities room lights toggle",""
MC237,00237,Spec_room_tog,"","Modbus Spectrograph room lights toggle",""
MC238,00238,Mze_room_tog,"","Modbus mezzanine room lights toggle",""
MC239,00239,Plat_wlight_tog,"","Modbus roll-off white light toggle",""
MC240,00240,Plat_rlight_tog,"","Modbus roll-off red light toggle",""
MC335,00335,CTL_room_stat,"","Modbus utilities room lights status",""
MC336,00336,UTL_room_stat,"","Modbus utilities room lights status",""
MC337,00337,Spec_room_stat,"","Modbus spectrograph room lights status",""
MC338,00338,Mze_room_stat,"","Modbus mezzanine room lights status",""
MC339,00339,Plat_wlight_stat,"","Modbus roll-off white light status",""
MC340,00340,Plat_rlight_stat,"","Modbus roll-off red light status",""
MC600,00600,HB_input,"","",""
MC601,00601,HB_ACK,"","",""
MC602,00602,HB_err_out,"","",""
MC900,00900,ENG_mode,"","Disables door interlock, to work on the enclosure",""
MHR410,40410,,"","",""
MHR411,40411,,"","",""
MHR415,40415,,"","",""
MHR510,40510,,"","",""
MHR600,40600,O2_pct_utl_room,"","",""
MHR601,40601,O2_pct_spec_room,"","",""
MHR602,40602,ODH_EC_utl_room,"","",""
MHR603,40603,ODH_EC_spec_room,"","",""
MHR604,40604,ODH_SB_utl_room,"","",""
MHR605,40605,ODH_SB_spec_room,"","",""
MHR1024,41024,Status_2,"","GS3 drive status 2",""
